"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Shoes","Skechers Uno Stand On Air Womens","Kerrie Crewe","I love these shoes so much I have bought five pairs in different colours. They are extremely comfortable and we get compliments every time I wear a pair. The white is very versatile.","Verified Purchase","Reviewed in Australia on 7 February 2024","4.6 out of 5 stars"
"2","Shoes","Skechers Uno Stand On Air Womens","Kath","True to size,  a perfect fit. Smart looking and comfortable.","Verified Purchase","Reviewed in Australia on 25 December 2023","5.0 out of 5 stars"
"3","Shoes","Skechers Uno Stand On Air Womens","Carmen B","Ya me compré un par igual hace dos años y las he llevado muchísimo. Me las compré la primera vez por sufrir una fascitis plantar y me fueron geniales. Son muy cómodas y me gusta como quedan. Normalmente uso un 41, pero en esta marca me basta un 40!","Verified Purchase","Reviewed in Spain on 18 November 2023","5.0 out of 5 stars"
"4","Shoes","Skechers Uno Stand On Air Womens","Janine","los skechers mas comodos que tengo, aún cuando esta lloviendo, manteniendo facil!","Verified Purchase","Reviewed in Spain on 14 December 2022","5.0 out of 5 stars"
"5","Shoes","Skechers Uno Stand On Air Womens","Birgitta Carlstedt","Tyvärr lite för smala för min fot…","Verified Purchase","Reviewed in Sweden on 1 March 2024","5.0 out of 5 stars"
"6","Shoes","Skechers Uno Stand On Air Womens","Daniel Ernesto Arteaga Gamboa","Todo entrega, empaquetado y calidad extraordinaria.!!","Verified Purchase","Reviewed in Spain on 19 February 2024","3.0 out of 5 stars"
"7","Shoes","Skechers Uno Stand On Air Womens","Inma Olivares alonso","Las compré para mi hija a muy buen precio.","Verified Purchase","Reviewed in Spain on 19 July 2023","5.0 out of 5 stars"
"8","Shoes","Skechers Uno Stand On Air Womens","Señorita","Llevo 3 años usando estas zapatillas, y son fabulosas para mis pies y mi columna vertebral. ¡¡Estoy encantada!!","Verified Purchase","Reviewed in Spain on 3 February 2024","5.0 out of 5 stars"
"9","Shoes","Skechers Uno Stand On Air Womens","Noelia","The media could not be loaded.
                
            
                
            
            
        
    
    
Uso personal. Me gusta mucho la marca Sketcher. Comodidas absoluta. El color es mi favorito!","Verified Purchase","Reviewed in Spain on 1 April 2023","5.0 out of 5 stars"
"10","Shoes","Skechers Uno Stand On Air Womens","vernecier evans","Bought these for work. Love the way they make my feet feel","Verified Purchase","Reviewed in the United States on 17 March 2024","5.0 out of 5 stars"
"11","Shoes","Skechers Uno Stand On Air Womens","Nuria","Son muy bonitos y cómodos. Esta marca es garantía de comodidad y calidad. Me encantaron","Verified Purchase","Reviewed in Mexico on 2 March 2024","4.6 out of 5 stars"
"12","Shoes","Skechers Uno Stand On Air Womens","MARI CARMEN","Las zapatillas quedan ideales, además son súper cómodas y no pesan nada. Normalmente uso un número más pero dan talla.","Verified Purchase","Reviewed in Spain on 31 January 2024","5.0 out of 5 stars"
"13","Shoes","Skechers Uno Stand On Air Womens","Mireia López","Las mejores bambas! Bonitas y comodisimas.","Verified Purchase","Reviewed in Spain on 14 July 2023","5.0 out of 5 stars"
"14","Shoes","Skechers Uno Stand On Air Womens","montserrat","Impresionantes, super cómodas y los colores espectaculares .ya llevo compradas tres.en verde oliva, amarillas y púrpura. Las mejores zapatillas que he tenido en la vida","Verified Purchase","Reviewed in Spain on 24 March 2022","5.0 out of 5 stars"
"15","Shoes","Skechers Uno Stand On Air Womens","Beatriz P.","Me encantan dan la talla correcta a la q utilizas super cómodas y el precio y envío lo mejor muy bueno y rapido","Verified Purchase","Reviewed in Spain on 14 March 2024","5.0 out of 5 stars"
"16","Shoes","Skechers Uno Stand On Air Womens","Beatriz P.","El producto se corresponde exactamente a la descripción","Verified Purchase","Reviewed in Spain on 22 February 2024","5.0 out of 5 stars"
"17","Shoes","Skechers Uno Stand On Air Womens","Luis González","Son muy cómodas, me van genial para salir a andar. El número concuerda con el mío. La entrega se pudo realozar gracias a los agentes de atención al cliente y a la directora de correos de Camprodón que vino hasta aquí sin ser su trabajo. Un 0 para correos express. Una lástima que las entregas no lleguen. Eso me frena a comprar.","Verified Purchase","Reviewed in Spain on 3 August 2023","5.0 out of 5 stars"
"18","Shoes","Skechers Uno Stand On Air Womens","Núria N","Eran para un regalo y a la persona a la que iban destinadas le han encantado. Que más se puede pedir????","Verified Purchase","Reviewed in Spain on 6 February 2024","5.0 out of 5 stars"
"19","Shoes","Skechers Uno Stand On Air Womens","Cliente Amazon","Ik had deze gekocht met navy kleuren dus rood en wit en kreeg de witte. Er was geen onderhandeling mogelijk en ik was ook mn kortingsbon v 7,50 kwijt. Foutje uit het magazijn...ongelooflijk!!!! Ik heb ze gehouden omdat ze lekker zitten maar ik vind dit beleid ronduit bespottelijk.","Verified Purchase","Reviewed in the Netherlands on 4 June 2023","4.0 out of 5 stars"
"20","Shoes","Skechers Uno Stand On Air Womens","Elvira Constancia Maria Aerts","Las tengo también en negras y esque son lo mejor del mundo, el único pero que les pongo es que no tiene suelas antideslizantes y por eso no le pongo 5 estrellas,porque he estado a punto de caerme en varias ocasiones con suelo mojado. Pero son comodísimas,no duelen pies ni espalda y son elegantes y bonitas ,fáciles de limpiar.","Verified Purchase","Reviewed in Spain on 1 December 2023","5.0 out of 5 stars"
"21","Shoes","Skechers Uno Stand On Air Womens","Paqui F.","Comodísimas, tallan un pelín grande","Verified Purchase","Reviewed in Spain on 10 February 2021","4.6 out of 5 stars"
"22","Shoes","Skechers Uno Stand On Air Womens","Muy chulo ha mí niño le ha encantado","Son las mejores y las uso mogollón","Verified Purchase","Reviewed in Spain on 6 February 2024","5.0 out of 5 stars"
"23","Shoes","Skechers Uno Stand On Air Womens","Karen","Como siempre Skechers no me falla, la talla correcta, el ajuste adecuado, el artículo de buena calidad, comodísimos y muy bonitos. Me llegaron muy bien,  dentro del tiempo que me indicaron.","Verified Purchase","Reviewed in Mexico on 10 January 2024","5.0 out of 5 stars"
"24","Shoes","Skechers Uno Stand On Air Womens","Ana","Calzan bastante grandes.  Yo uso 40/41, pedí el 40 y me quedan grandes. Me llega con el 39.","Verified Purchase","Reviewed in Spain on 9 May 2022","5.0 out of 5 stars"
"25","Shoes","Skechers Uno Stand On Air Womens","Jesus","Sufria de dolor de pies y ha sido mi salvación","Verified Purchase","Reviewed in Spain on 30 December 2022","5.0 out of 5 stars"
